Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
2d152b4d6a7c0ebad95ffbfcf6cdb3a105d5c2fab22f683ad5c6e7bee9fce57b,2017-02,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Theft from the person,Investigation complete; no suspect identified,
d83c5ae37b103b2a78255fb5ed4abee32b078c3f46685292f57357a86710f25a,2017-02,City of London Police,City of London Police,-0.077029,51.510148,On or near Trinity Square,E01004293,Tower Hamlets 027B,Violence and sexual offences,Unable to prosecute suspect,
,2017-02,City of London Police,City of London Police,-0.111974,51.513683,On or near Fleet Street,E01004735,Westminster 018B,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.111974,51.513683,On or near Fleet Street,E01004735,Westminster 018B,Anti-social behaviour,,
,2017-02,City of London Police,City of London Police,-0.111974,51.513683,On or near Fleet Street,E01004735,Westminster 018B,Anti-social behaviour,,
8c32d4d35b7ae061a8e3a56e94720b482f2a3d382fa3c17aa264d4003d68c976,2017-02,City of London Police,City of London Police,-0.111974,51.513683,On or near Fleet Street,E01004735,Westminster 018B,Violence and sexual offences,Unable to prosecute suspect,
633aa32154a6381711713ba3434d2fd42d2ded968dd4560e91f5295bf90c501c,2017-02,City of London Police,City of London Police,-0.112039,51.514547,On or near Bell Yard,E01004735,Westminster 018B,Violence and sexual offences,Unable to prosecute suspect,
fb0d55635b0a5d39bb5f77d8a81bd550f2fbc49c2283126d0c1b328f9c0aa359,2017-02,City of London Police,City of London Police,,,No Location,,,Bicycle theft,Status update unavailable,
0c51bc72ffdadf1d5bd24e30de5b885062a1d349c7101350a7db95cf83174be4,2017-02,City of London Police,City of London Police,,,No Location,,,Burglary,Status update unavailable,
a9ba9583968932bc440ac441187253899ba40d56905b62e1092425878fcd6cfc,2017-02,City of London Police,City of London Police,,,No Location,,,Criminal damage and arson,Status update unavailable,
dbce7118658aa601d6e88f16768639f961da53dbbf77bbd8ecbc3d51ba27f371,2017-02,City of London Police,City of London Police,,,No Location,,,Drugs,Status update unavailable,
329ddc407b79d4057bad27d521cb065a8e763d159ca9b186b5d604eb673a978d,2017-02,City of London Police,City of London Police,,,No Location,,,Drugs,Status update unavailable,
77ec25693587dcc0b1212e266e83495dc26029d53c2f8d38ee9db1b244f83e2b,2017-02,City of London Police,City of London Police,,,No Location,,,Drugs,Status update unavailable,
