Full fund name;Fund ISIN;Fund code;Asset Class;Morningstar rating;Morningstar category;OCF/TER(%);Eligible for ISA;Eligible for SIPP;Eligible for general investment account;Performance in % (Current Yr-4);Performance in % (Current Yr-3);Performance in % (Current Yr-2);Performance in % (Current Yr-1);Performance in % (Current Yr)
Rathbone Global Opportunities Inst Acc;GB00B7FQLN12;RAGOA;Global;;Global Flex-Cap Equity;0.8;Yes;Yes;Yes;20.41;11.30;16.66;13.68;25.66
CF Lindsell Train UK Equity Fund Inc;GB00B18B9V52;LTUEI;UK;5;UK Flex-Cap Equity;0.72;Yes;Yes;Yes;32.23;15.69;14.08;6.61;21.08
CF Lindsell Train UK Equity Fund Acc;GB00B18B9X76;LTUEA;UK;;UK Flex-Cap Equity;0.72;Yes;Yes;Yes;32.23;15.69;14.08;6.61;21.09
Majedie UK Equity X Inc;GB00B8BH0R25;MJUEI;UK;;UK Large-Cap Blend Equity;0.78;Yes;Yes;Yes;28.46;17.89;6.61;-5.63;23.40
Majedie UK Equity X Acc;GB00B88NK732;MJUXA;UK;;UK Large-Cap Blend Equity;0.78;Yes;Yes;Yes;28.42;17.91;6.61;-5.62;23.40
Old Mutual North American Equity U1 Acc;GB00BHBX8800;OLNUA;North America;;US Flex-Cap Equity;0.88;Yes;Yes;Yes;;;20.62;17.08;28.58
Old Mutual UK Smaller Companies U1 Inc;GB00BHBX8T19;OLUUA;UK;;UK Small-Cap Equity;0.94;Yes;Yes;Yes;;;;-0.92;46.91
Old Mutual UK Smaller Companies Fund U1 Acc;GB00BHBX8S02;OLUUI;UK;;UK Small-Cap Equity;0.94;Yes;Yes;Yes;;;14.69;-0.93;46.92
Fidelity MoneyBuilder Income Fund Y-Accumulation-Gross;GB00B6ZX7B59;YGCBA;Bonds;4;GBP Corporate Bond;0.56;Yes;Yes;Yes;5.87;6.06;5.66;6.81;5.08
Franklin UK Smaller Companies Fund W Inc;GB00BYVDZV14;BWUSI;UK;;UK Small-Cap Equity;0.83;Yes;Yes;Yes;35.29;20.80;18.17;-10.85;37.39
JOHCM UK Equity Income Fund Y Dist;GB00B95FCK64;JOEIY;UK;;UK Equity Income;0.69;Yes;Yes;Yes;;14.69;7.47;-9.30;30.43
JPM US Select Fund C - Net Accumulation;GB00B2Q5DR06;SPSSA;North America;;US Large-Cap Blend Equity;0.93;Yes;Yes;Yes;30.17;12.70;16.80;13.21;26.02
Lazard Emerging Markets A Acc;GB00B24F1G74;LZEGA;Asia and Emerging Markets;;Global Emerging Markets Equity;1.08;Yes;Yes;Yes;7.80;6.31;-6.55;7.25;25.65
Lazard Emerging Markets A Inc;GB0008467101;LZEMI;Asia and Emerging Markets;;Global Emerging Markets Equity;1.08;Yes;Yes;Yes;7.80;6.29;-6.55;7.31;25.62
Liontrust UK Growth Fund I - Inc;GB00B56BDS09;LTUGI;UK;;UK Flex-Cap Equity;0.89;Yes;Yes;Yes;18.01;11.83;6.41;9.12;20.13
M&G Corporate Bond Fund I Inc;GB00B1YBRM66;MECII;Bonds;4;GBP Corporate Bond;0.65;Yes;Yes;Yes;5.40;6.73;4.57;6.73;5.84
Fidelity Funds - European Growth Fund W-ACC-GBP;LU1235296263;WEGRA;Europe;;Europe Large-Cap Blend Equity;1.04;Yes;Yes;Yes;;;;6.92;24.02
Henderson Emerging Market Opportunities I Acc;GB00B87M3G18;HDEOA;Asia and Emerging Markets;;Global Emerging Markets Equity;0.95;Yes;Yes;Yes;6.14;2.84;3.24;12.82;20.61
Fidelity Enhanced Income Fund W-Accumulation;GB00B7W94N47;WEINA;UK;;UK Equity Income;0.95;Yes;Yes;Yes;14.77;11.82;3.34;2.85;11.29
